Matched nick	Level	Country	Is Payer	Duplicate?
VINNYTHEFISHERMAN	81	US	Yes	
thomas01121982	110	DE	Yes	
reszo	72	PL	Yes	
RomeOow	109	TH	Yes	
Grimmrikr	110	CA	Yes	
NSfishing	73	RS	Yes	
prince_asraf	103	BD	Yes	
SPACERAGGER	41	US	No	
ImJustJoshing-_-	92	US	Yes	
				
				
05FranCiani	62	AR	Yes	
Leotect	84	US	Yes	
FishMan_dave	87	GB	Yes	
TYTRenatin	104	BR	Yes	
PondNomadMatt	96	CA	Yes	
loony1982	83	DE	Yes	
JackieC	104		Yes	
1aur	68	ID	Yes	
Finezxer	71	PL	Yes	
				
				
great_gaiter39	82	CA	Yes	
TEST	2		No	
huit0n	82	DE	Yes	
hugo_wrn	49	DE	Yes	
venom1987	48	US	Yes	
KostyaVoron	34	UA	Yes	
AttractiveScallopWitch	72	US	Yes	
K0myuu	67	PL	Yes	
Gambit2313	110	DE	Yes	
